body,city,company,country,expired,index_url,job_title,listing_url,location,post_date,state,status_code,summary,views
"World Wildlife Fund (WWF), the worldâs leading conservation organization, seeks a Conservation Data Analysis Intern.


Responsibilities:
Internship Description:


Conservation decision-makers urgently need credible information on which to base their decisions at local, national, and international scales. The synthesis of existing data, collected by WWF and its partners, offers the potential to provide actionable insights to conservation decision-makers. Consequently, WWF and its partners are exploring the potential for existing global datasets to inform key decisions. We are looking for a motivated intern to assist in the management and statistical analysis of critical datasets.


Internship responsibilities will include:

Identifying appropriate secondary datasets for analysis
Data management, including updating database metadata and database maintenance
Statistical analysis of quantitative social and ecological data, including descriptive statistics, and developing appropriate statistical models.

This internship is an excellent opportunity to interact with scientists in WWF-US and around the world; gain exposure to a wide range of conservation science and policy issues; and inform adaptive management of WWFâs conservation portfolio.


Qualifications:
Minimum Requirements:


The successful applicant will have a Bachelor or Masters degree in natural or social science with a demonstrated interest in biodiversity conservation. This position requires strong data management and statistical analysis skills, with demonstrated experience handling large scientific datasets. Demonstrated experience with statistical analysis (e.g., general linear models, t-tests, ANOVA) in R is essential. Good written and verbal communication skills are essential. The successful applicant will be able to work independently, as well as part of an international, interdisciplinary team.


Location:


Washington, DC


Compensation:


Paid


How to apply: Please submit a resume, cover letter and a short sample of R code through our Careers page.


https://careers-wwfus.icims.com/jobs/search , IN-16092


* Please note that WWF does not provide VISA sponsorship to interns",Washington,World Wildlife Fund,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,IN-16092 Conservation Data Analysis Intern,http://www.indeed.com/viewjob?jk=7e8fe748424511c9&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Washington, DC US","Mon, 25 Apr 2016 21:36:16 GMT",DC,200,"Data management, including updating database metadata and database maintenance. Gain exposure to a wide range of conservation science and policy issues;...",17
"Job Description

The Weather Company, an IBM Business is seeking a Data Science Analyst who will take on an active role in the development of new complex analytical products in the financial, insurance, retail, and energy markets. You will combine efforts around data quality, producing analysis, and developing models and data sets used in TWCâs analytical products. This role will work across data science, product management and engineering and will collaborate with multiple project teams.

Provide expertise in data acquisition, data quality and data management
Assist in the development, training, and deployment of complex analytical models
Work with minimal oversight on data acquisition, data manipulation, basic analysis and data quality projects
TWC Qualifications

null

Additional Information

null",Boston,IBM,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,Data Science Analyst for The Weather Company,http://www.indeed.com/viewjob?jk=4332542420d6bd52&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Boston, MA US","Thu, 03 Mar 2016 04:06:28 GMT",MA,200,"Provide expertise in data acquisition, data quality and data management. Work with minimal oversight on data acquisition, data manipulation, basic analysis and...",10735
"Job Number: 01203341


Description


So you want to be a Data Scientist?

-Are you innately curious, a natural born problem solver, a contrarian or a risk taker?

-Do you want to solve complex, challenging problems?

-Do you want to have fun while doing so?

-Do you want to work alongside others who are passionate about using data science to change the world?


Did you know?


Booz Allen Hamilton is no longer âjustâ a consulting firm. We offer an environment in which you can create and deploy data-driven tools while serving as a trusted advisor to your clients. We solve cutting-edge commercial and government problems through research, development and collaboration among teams working with leading edge technology. Our Strategic Innovation Group offers the best of both worlds: a start-up environment with the backing of an established consulting firm. You will be met with a 100-year history of success and a firm-wide belief that our team should lead the way in innovation by being disrupters and thought leaders in data science.


Our Data Science team:


In this role, you will join a diverse, collaborative and ever-growing data science team. You will work alongside highly-skilled practitioners, including a master-class Kaggle competitor, a member of the Apache Software Foundation, and nationally recognized data science thought leaders (with coverage in WSJ, HBR, and many others). You will deliver intellectual capital and solutions that enable our clients to derive the maximum value from their data while solving solve our clientâs most pressing business needs.


A day in the life â what our Data Scientists do:

- Tap into the firmâs consulting roots to define business problems while manipulating data, developing analytical solutions and executing models

- Identify new opportunities to further apply advanced analytics solutions with our existing clients

- Work across all of our markets with private and public sector clients in Energy, Financial Services, Life Sciences (Health) and Defense

- Pioneer and champion data science for social good while working with national museums, international organizations and non-profits

- Enhance the diversity of the firm by helping to attract, develop and retain our existing talent


This position is located in Washington, DC, Boston, MA, San Diego, CA, Houston, TX, or New York, NY.


Job Requirements
Qualifications


Basic Qualifications:

-2 years of experience with advanced data analytic techniques, including data mining, machine learning, statistical analysis, and Natural Language Processing

-1 year of experience with programming in an object-oriented programming language, including Java or Python

-Experience in working with massive data sets, including structured and structured with at least 1 prior engagement involving data gathering, data cleaning, data mining, and data visualization

-Ability to show a proven track record of weaving data and analysis into a compelling format that is client- and solutions-driven and easily digestible resulting in client approval

-Ability to obtain a security clearance

-BA or BS degree


Additional Qualifications:

-Experience with scientific research processes and bioinformatics, health and analytical tools related to genomics, medical imaging, phenotypic, or related data-Knowledge of government-funded research processes and initiatives

-Experience with an object-oriented programming language, including Java or Python

-Experience with articulating the overall story derived from data and analysis and explaining complex analyses and themes to non-technical and technical audiences

-Knowledge of advanced data analytic techniques, including data mining, machine learning, statistical analysis, and Natural Language Processing

-Ability to show a track record of solving large, complex problems

-BA or BS degree in Statistics, Mathematics, Operations Research, EE, CS, or related fields preferred; MS degree in Statistics, Mathematics, Operations Research, Biology, Bioinformatics, Biomedical Engineering, Genetics, Neuroscience, or similar health-related fields preferred; MA, MS, or PhD degree in Biomedical Engineering, Bioinformatics, Biology, Genetics, Neuroscience, or related fields


Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.


Integrating the full range of consulting capabilities, Booz Allen is the one firm that helps clients solve their toughest problems, working by their side to help them achieve their missions. Booz Allen is committed to delivering results that endure.


We are proud of our diverse environment, EOE, M/F/Disability/Vet.


Job Program/Project Management


Primary Location United States-District of Columbia-Washington",Washington,Booz Allen Hamilton,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,Data Scientist,http://www.indeed.com/viewjob?jk=5df3246825de10f5&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Washington, DC US","Fri, 15 Apr 2016 07:31:57 GMT",DC,200,"Our Data Science team:. Experience in working with massive data sets, including structured and structured with at least 1 prior engagement involving data...",863
"everis is a multinational consulting firm providing business and strategy solutions, application development, maintenance, and outsourcing services. Established in 1996, everis has averaged 20% annual growth in revenues, and it became part of NTT Data in January, 2014.Being part of the NTT Data group enables everis to offer a wider range of solutions and services through increased capacity, as well as technological, geographical, and financial resources.everis USA is looking for high-achieving team players that are quickly adaptable to new challenges and entrepreneurial ventures. We are currently seeking a Â­Â­Healthcare Data Analyst for our location in the DC metro area . Responsibilities: The Healthcare Data Analyst uses expertise in health IT to design healthcare data repositories.The Healthcare Data Analyst understands healthcare data and knows how to leverage and structure the data.The Healthcare Data Analyst is able to map healthcare terminologies like LOINC, SNOMED, MEDCIN, RxNORM, HL7/FHIR.The Healthcare Data Analyst maintains strong communication skills required to present complex data findings as concise and clear client deliverables of the highest quality.Knowledge/Experience Required: *Bachelorâs Degree in technical or life science discipline3+ years of experience in healthcare IT1+ years of experience with at least healthcare data terminologiesAbility to obtain a security clearanceAdvanced spreadsheet abilityKnowledge/Experience Desired: *1+ years of experience with current state or federal government constructs and proceduresJob Type: Full-timeRequired experience:Healthcare, Loinc, Snomed: 2 years",Washington,Everis USA,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,Healthcare Data Analyst,http://www.indeed.com/viewjob?jk=ba266f8cb3fa7a4b&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Washington, DC US","Mon, 25 Apr 2016 19:56:40 GMT",DC,200,The Healthcare Data Analyst understands healthcare data and knows how to leverage and structure the data. The Healthcare Data Analyst uses expertise in health...,10
"CHASE Professionals is currently representing a Fortune 500 company located in Duluth, GA that is hiring for a Sr. Data Scientist to join their organization on a full time / permanent basis. This position offers exceptional benefits as well as advancement opportunities within the organization.Position : Sr. Data ScientistDuration : Full time / permanentPay : $90,000 - $105,000Location : Duluth, GAEssential Duties and Responsibilities: Understand customer business use cases and be able to translate them to analytical data applications and models with a vision on how to implement a solution. Clearly communicate the business and technical benefits of analytics and visualization to both business and technical audiences. Support subsequent business units in developing and implementing Tableau server dashboards and other analytical solutions. Work closely with other members of the services analytics team to drive the implementation of these solutions. Manipulate, aggregate and derive useful information from data stored across many sources and different databases.Qualifications: Bachelorâs Degree in Computer Science, Physics, Math, Statistics or equivalent experience5+ years of experience in the applied analytic space5+ years of programming skills & experience in Java, C++, R, Perl, or Python.Strong understanding of algorithms and advanced data structures.3+ years of advanced experience with Hadoop (preferably HDP)Job Type: Full-timeRequired experience:applied analytics + R or Python + Hadoop: 4 yearsRequired education:Bachelor's",Duluth,CHASE Professionals,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,Sr. Data Scientist,http://www.indeed.com/viewjob?jk=fd9df86861b6e047&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Duluth, GA US","Mon, 25 Apr 2016 14:28:26 GMT",GA,200,"Strong understanding of algorithms and advanced data structures. Bachelor’s Degree in Computer Science, Physics, Math, Statistics or equivalent experience....",147
"World Wildlife Fund (WWF), the worldâs leading conservation organization, seeks a Conservation Data Visualization Intern.

Responsibilities:
Internship Description

Conservation decision-makers urgently need credible information on which to base their decisions at local, national, and international scales. The synthesis of existing data, collected by WWF and its partners, offers the potential to provide actionable insights to conservation decision-makers. Consequently, WWF and its partners are exploring the potential for existing global datasets to inform key decisions. We are looking for a motivated intern to assist in visualization of key global datasets to inform targeted decision-makers.

Internship responsibilities will include:
Supporting the development of appropriate data visualization tools
Communication of credible evidence through a variety of products, including dashboards and infographics.

This internship is an excellent opportunity to interact with scientists in WWF-US and around the world; gain exposure to a wide range of conservation science and policy issues; and inform adaptive management of WWFâs conservation portfolio.

Qualifications:
Minimum Requirements:
The successful applicant will have a Bachelor or Masters degree in natural or social science, or a relevant degree in information technology, with a demonstrated interest in biodiversity conservation. This position requires strong data visualization skills, with either demonstrated experience in R (e.g., ggplot2, RShiny) or the visualization of data in graphic designer software (e.g. Adobe InDesign). Good written and verbal communication skills are essential. The successful applicant will be able to work independently, as well as part of an international, interdisciplinary team.

Location:
Washington, DC

Compensation:
Paid

How to apply: Please submit a resume & cover letter through our Careers page.
https://careers-wwfus.icims.com/jobs/search , IN-16093


Please note that WWF does not provide VISA sponsorship to interns

",Washington,World Wildlife Fund,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,IN-16093 Conservation Data Visualization Intern,http://www.indeed.com/viewjob?jk=470a63c04d95b734&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Washington, DC US","Mon, 25 Apr 2016 21:36:16 GMT",DC,200,"Supporting the development of appropriate data visualization tools. This position requires strong data visualization skills, with either demonstrated experience...",17
"Explore ways to pull information together and address incomplete data and imperfect data formats. Evaluate the landscape of data tools to unlock new capabilities. Connect statistical programming and data analysis knowledge with keen understanding of business problems facing users and customers.


As part of the data science team, you will work cross-functionally with solutions architects and engineers to identify and prioritize new ways to optimize our data assets to deliver value to our customers, partners, and prospects. You will research, design, implement, and validate cutting-edge algorithms to enrich and expand Veratoâs data assets in a principled manner and achieve targeted outcomes.


Veratoâs core competency revolves around integrating large and diverse datasets and assembling commercially available records into an authoritative reference database. The data scientist positions require a strong background in statistical analysis and techniques applied to very large data structures using NoSQL database technologies. The data scientist will be responsible for developing and implementing Python or R computer algorithms in the Linux environment to extract, analyze, and compare information contained in our databases. Since weâre always looking for top-notch talent to further strengthen our core competency in data science, we will consider a range of education and experience levels for these roles.",McLean,Verato,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,Data Scientist,http://www.indeed.com/viewjob?jk=036b84b269e1b552&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"McLean, VA US","Wed, 20 Apr 2016 08:50:34 GMT",VA,200,Explore ways to pull information together and address incomplete data and imperfect data formats. The data scientist positions require a strong background in...,
"Do you have the curiosity, creativity, focus, and attention to detail required in big data cloud environments? Do you want to help build analytics that extract timely, actionable information from diverse complicated data sources? If so, the NSA wants you! We are seeking a data scientist to help shape our future and enable us to deliver innovative analytic solutions that provide even higher-impact mission value to the analyst community.


We are actively building a Data Science team with a strong understanding of Computer Science, Mathematics/Statistics, and Domain Expertise. You will utilize your skills to accomplish Agency initiatives in Computer Network Exploitation, Cryptanalysis, Cyber, and Digital Network Exploitation.


Primary duties will include:

- Develop conceptual designs or models to address requirements

- Analyze problems to determine technical solutions

- Decide what procedures will be required to solve technical problems

- Identify new and existing products, technologies, and/or architectures to solve design, development, and operational problems

- Identify new applications of known techniques

- Analyze data using mathematical/statistical methods

- Apply mathematical and computation methods and lines of reasoning

- Document research processes, analyses and/or the results

- Conduct analysis of metadata

- Develop tools and techniques for analysis

- Exploit, fuse and use data and data sources

- Identify and analyze anomalous data (including metadata)

- Analyze data using appropriate tool set

- Evaluate research for practical application

- Design and develop analytics


This position offers high-visibility work using the latest computer technology with direct impact on the Nation's efforts against terrorism and other high-priority targets.


Relevant experience must involve data mining, informatics, data science, programming, computational algorithms, information retrieval (i.e., organizing and structuring data), statistical analysis, machine learning, artificial intelligence, software engineering, and/or systems design and analysis. A bachelor's degree in Science, Technology, Engineering, or Mathematics (STEM) discipline is preferred.


Entry/Developmental: Work at this level involves acquiring competencies needed to perform successfully at the full performance level through appropriate formal training, actual on-the-job experience, or both. Employees at this level learn and apply fundamental skills and concepts using established procedures and standard practices to work problems of limited scope based on detailed instructions from the supervisor or instructor.


Experienced: Work at this level involves independently performing the full range of non-supervisory duties assigned to the employee. Employees at this level have successfully completed required entry-level training or developmental activities, either within the employing organization or prior to joining the organization. Employees at this work level have a full understanding of the technical or specialty field, independently handle situations or assignments with minimal day-to-day instruction or supervision, and receive general guidance and direction on new projects or assignments. Within established priorities and deadlines, full performance employees exercise independent judgment in selecting and applying appropriate work methods, procedures, techniques, and practices in accomplishing their duties and responsibilities. Actions at this level may have impact beyond the work unit and, as a result, employees at this level typically collaborate internally and externally with their peers.


.


Qualifications


Salary Range: $65,572 - $84,611 (Entry/Developmental)


Entry is with a high school diploma plus 3 years of relevant experience; OR an Associate's degree plus 1 year of relevant experience; OR a Bachelor's degree with no experience.


Degree OR Minor must be in a Science, Technology, Engineering, or Mathematics (STEM) discipline.


If STEM Bachelor's degree is in Social or Behavioral Science (including but not limited to economics, sociology, psychology), it must include one or more courses in either research methods or math (not including college-level Algebra or any other math course intended to meet a basic level college requirement). Examples of acceptable math courses include but are not limited to applied statistics and calculus.


If there is no Bachelor's degree OR the Bachelor's degree is in a NON-STEM discipline, but the Associate's degree or Minor is in a STEM discipline, must have at least three upper-level courses (e.g., 200 level or higher) in any of the following in order to be considered: applied statistics, calculus, quantitative or statistical methods and techniques, data mining, informatics, data science, programming, computational algorithms, information retrieval (i.e., organizing and structuring data), working with databases or data structures, statistical analysis, machine learning, artificial intelligence, software engineering, or systems design analysis.


The relevant experience must involve data mining, informatics, data science, programming, computational algorithms, information retrieval (i.e., organizing and structuring data), statistical analysis, machine learning, artificial intelligence, software engineering, and/or systems design and analysis.


NOTE: Completion of a data science certificate program (online or other) may replace 1 year of relevant experience. Some examples of data science certificate programs include those offered by Cloudera, Coursera, Indiana University-Bloomington, and University of California-Irvine.


Salary Range: $78,549 - $104,614 (Full Performance)


Entry is with a high school diploma plus 4 years of relevant experience; OR an Associate's degree plus 2 years of relevant experience; OR a Bachelor's degree plus 1 year of relevant experience; OR a Master's degree with no experience.


At least one of the degrees must be in a Science, Technology, Engineering, or Mathematics (STEM) discipline.


If the STEM degree is in Social or Behavioral Science (including but not limited to economics, sociology, psychology), it must include one or more courses in either research methods or math (not including college-level Algebra or any other math course intended to meet a basic level college requirement). Examples of acceptable math courses include but are not limited to applied statistics and calculus.


If the Bachelor's degree is in a NON-STEM discipline, but the Associate's degree or Minor is in a STEM discipline, must have at least three upper-level courses (e.g., 200 level or higher) in any of the following in order to be considered: applied statistics, calculus, quantitative or statistical methods and techniques, data mining, informatics, data science, programming, computational algorithms, information retrieval (i.e., organizing and structuring data), working with databases or data structures, statistical analysis, machine learning, artificial intelligence, software engineering, or systems design analysis.


The relevant experience must involve data mining, informatics, data science, programming, computational algorithms, information retrieval (i.e., organizing and structuring data), statistical analysis, machine learning, artificial intelligence, software engineering, and/or systems design and analysis.


NOTE: Completion of a data science certificate program (online or other) may replace 1 year of relevant experience. Some examples of data science certificate programs include those offered by Cloudera, Coursera, Indiana University-Bloomington, and University of California-Irvine.


.


Pay, Benefits, & Work Schedule


This is a full-time position, Monday through Friday.


Salary is commensurate with education and experience.


This Ad closes on May 27, 2016.


.


How To Apply - External


To apply for this position, please click the 'Apply Now' button located at the top or bottom of this page. After completing the application and clicking the 'Submit Final' button, you will receive a confirmation email. Emails regarding your application status will be sent periodically. Please ensure your spam filters are configured to accept emails from noreply@nsa.gov.


***PLEASE NOTE:


U.S. Citizenship is required for all applicants. Reasonable accommodations provided to applicants with disabilities during the application and hiring process where appropriate. NSA is an equal opportunity employer and abides by applicable employment laws and regulations. All applicants and employees are subject to random drug testing in accordance with Executive Order 12564. Employment is contingent upon successful completion of a security background investigation and polygraph.


This position is a Defense Civilian Intelligence Personnel System (DCIPS) position in the Excepted Service under 10 U.S.C. 1601. DoD Components with DCIPS positions apply Veterans' Preference to eligible candidates as defined by Section 2108 of Title 5 USC, in accordance with the procedures provided in DoD Instruction 1400.25, Volume 2005, DCIPS Employment and Placement. If you are a veteran claiming veterans' preference, as defined by Section 2108 of Title 5 U.S.C., you may be asked to submit documents verifying your eligibility.


.


DCIPS Disclaimer


The National Security Agency (NSA) is part of the DoD Intelligence Community Defense Civilian Intelligence Personnel System (DCIPS). All positions in the NSA are in the Excepted Services under 10 United States Codes (USC) 1601 appointment authority.


.",Fort George G Meade,National Security Agency,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,Data Scientist,http://www.indeed.com/viewjob?jk=7e5018a16af5f8e8&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Fort George G Meade, MD US","Sat, 30 Jan 2016 00:12:24 GMT",MD,200,"We are actively building a Data Science team with a strong understanding of Computer Science, Mathematics/Statistics, and Domain Expertise....",71
"Description:
Raytheon is seeking a Data Scientist in support five year contract located in Springfield , ideal candidate will have solid experienced and passionate about using data to drive strategy and productre commendations. You are able to both engage with senior leaders to design well-constructed analyses and work cross-functionally with analysts, product managers and engineers to effectively deliver actionable results. You are a well-rounded top performer who is able to âcrunch the numbersâ one minute and critically think through strategic issues the next. You are a self-starter with a high degree of rigor, organization, and discipline to get things done. You are able to communicate as effectively in delivering complex data-driven findings with product managers as you are in discussing logging and machine-learning specifications with engineers. The candidate is an independent, solution-oriented thinker with a strong background processing huge data sets, applying analytical rigor and statistical methods, and driving toward insights and solutions. This position can be a Salary Grade E04 or E05 based upon the candidateâs qualifications as they relate to the skills, experience and responsibility requirements for the position. Responsibilities: Â· Research and develop methods for measuring and analyzing varied mission data. Â· Research new algorithms and methods for optimizing mission experience. Â· Research new ways for modeling end-user behavior. Â· Lead investigations into multiple streams of data. Â· Design experiments to answer targeted questions. Â· Active Secrete clearance required Required: Â· Ten (10) years of related experience required Â· Master's degree Â· 2 years relevant work experience including statistical software, databases and scripting languages (such as Python). Preferred qualifications: Â· 4 years of relevant work experience. Â· Substantial real-world experience, especially in areas such as data. Â· Ability to draw conclusions from data and recommend actions. Â· Demonstrated willingness to both teach others and learn new techniques. Â· Demonstrated leadership and self-direction. Required Education: Â· Preferred MS or PhD in Statistics or related (e.g.Mathematics, Physics, Ops Research). Business Unit: Intelligence & Information Sys Business Unit Profile: Raytheon Intelligence, Information and Services (IIS) is a leader in intelligence, surveillance and reconnaissance; advanced cyber solutions; weather and environmental solutions; information-based solutions for law enforcement and homeland security; and training, logistics, engineering, product support, and operational support services and solutions for the mission support, homeland security, space, civil aviation, counter-proliferation and counter-terrorism markets. IIS, which operates at nearly 551 sites in 80 countries, is headquartered in Dulles, VA. and generated $6 billion in 2014 revenues. As a global business, our leaders must have the ability to understand, embrace and operate in a multicultural world -- both in the marketplace and in the workplace. We strive to hire individuals who reflect our communities and proactively embrace diversity and inclusion in order to advance our culture, develop our employee and leaders, and grow our marketshare with our clients."" Relocation Eligible: No Clearance Type: Secret - Current Expertise: Software Engineering, Data Science Type Of Job: Full Time Work Location: VA - Springfield",Springfield,Raytheon,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,Data Scientist,http://www.indeed.com/viewjob?jk=dd79c133018474b3&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Springfield, VA US","Tue, 26 Apr 2016 10:59:31 GMT",VA,200,"Software Engineering, Data Science Type Of Job:. Lead investigations into multiple streams of data. Substantial real-world experience, especially in areas such...",1164
"CGI Federal is seeking an experienced Data Scientist to join our Digital Services Team in the Emerging Technologies Practice. As a Data Scientist, you will work closely with the VP of Digital Services, Principal Technologist and other SMEs to define, develop, and deliver a broad range of advanced analytics based solutions. This role requires the individual to apply data mining, basic and advanced analytics, and machine learning techniques by leveraging best practices and industry trends.

As a key member of CGI Federalâs Digital Services Team in our Emerging Technologies Practice, you shall be responsible for the following:

â¢ Working with other Data analysts, technologists and SMEs to design and develop advanced analytics solutions using various data modeling and analytics tools

â¢ Supporting business development activities to articulate CGIâs Data Science capabilities and help shape and communicate proposed solutions to senior executives, domain experts, and IT architects

â¢ Identifying patterns and trends by using rigorous statistical techniques on large data sets

â¢ Analyzing and interpreting the results using analytical tools and be able to explain to all levels of stakeholders

â¢ Rapid prototyping to build statistical models and/or machine learning algorithms

â¢ Data analytics responsibilities include sample design, data preparation, identification of appropriate analytic and statistical methodology, and documentation of process and results

Key Skills :

8+ years of related experience

â¢ Excellent analytical and problem solving skills

â¢ Extensive experience solving analytical problems using quantitative approaches. Experience with natural language processing. Deep understanding of machine learning algorithms

â¢ Ability to grasp analytical concepts and clearly understand how analytical solutions can help customers solve their complex business problems

â¢ Experience with data mining techniques and statistical analysis, include linear / logistic regression, multivariate regression, LASSO, cluster vs. classify, random forest techniques, neural networks, etc.

â¢ Proficient building predictive models, beyond regression analysis (e.g. random forests, support vector machines, etc.)

â¢ Experience with one or more of the following: R, MATLAB, Python

â¢ Experience handling, processing and analyzing large data sets

â¢ Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner

â¢ Advanced degree (Master's or PhD in mathematics, statistics, machine learning and/or related field)

Desired:

Proficient in the big data tools & technology ecosystem (familiarity with Hadoop family of products)

â¢ Experience with various mathematical and statistical models to include, but not limited to: Discrete Event Simulation, Factor Analysis, Genetic Algorithms, Bayesian Probability Models, Hidden Markov Models and Sensitivity Analysis

At CGI, weâre a team of builders. We call our employees members because all who join CGI are building their own company - one that has grown to 68,000 professionals located in 40 countries. Founded in 1976, CGI is a leading IT and business process services firm committed to helping clients succeed. We have the global resources, expertise, stability and dedicated professionals needed to achieve results for our clients - and for our members. Come grow with us. Learn more at www.cgi.com.

This is a great opportunity to join a winning team. CGI offers a competitive compensation package with opportunities for growth and professional development. Benefits for full-time, permanent members start on the first day of employment and include a paid time-off program and profit participation and stock purchase plans.

We wish to thank all applicants for their interest and effort in applying for this position, however, only candidates selected for interviews will be contacted.

No unsolicited agency referrals please.

Qualified applicants will receive consideration for employment without regard to their race, color, religion, sex, gender Identity, sexual orientation, national origin, age, disability, veteran status, pregnancy, or other status protected by law. CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGIâs legal duty to furnish information.",Fairfax,CGI,US,false,http://api.indeed.com/ads/apisearch?publisher=942007812079380&q=data+science&v=2&limit=25&start=0,Data Scientist,http://www.indeed.com/viewjob?jk=cf855495d9c0994c&qd=uJ0wQTSmQs0yu93par7Vd6qsCLZX8EX93urv426uJCn2NYlaC_XI9FB45ks3WkXvbrxeSLObihrK5ht2SLqcgrW3UIhx0VVoZ5YxUNOd4EI&indpubnum=942007812079380&atk=1ahcspq495sv0fa7,"Fairfax, VA US","Sun, 06 Mar 2016 16:49:50 GMT",VA,200,"Data analytics responsibilities include sample design, data preparation, identification of appropriate analytic and statistical methodology, and documentation...",676
